iter	Passed	Remaining
143	6954	41341
144	7003	41294
145	7056	41276
146	7113	41278
147	7167	41262
148	7228	41284
149	7283	41275
150	7345	41301
151	7397	41271
152	7455	41271
153	7507	41245
154	7565	41245
155	7640	41336
156	7695	41322
157	7754	41325
158	7818	41353
159	7886	41404
160	7969	41530
161	8040	41593
162	8106	41627
163	8160	41600
164	8227	41637
165	8289	41648
166	8348	41642
167	8402	41611
168	8467	41638
169	8516	41581
170	8571	41555
171	8629	41543
172	8680	41498
173	8741	41498
174	8804	41509
175	8875	41552
176	8937	41555
177	8999	41560
178	9052	41517
179	9108	41492
180	9161	41454
181	9221	41444
182	9287	41463
183	9348	41460
184	9401	41419
185	9458	41393
186	9520	41392
187	9578	41371
188	9644	41386
189	9704	41371
190	9761	41346
191	9819	41322
192	9872	41281
193	9924	41231
194	9978	41194
195	10035	41167
196	10088	41121
197	10166	41181
198	10236	41203
199	10289	41158
200	10340	41103
201	10393	41061
202	10445	41009
203	10497	40962
204	10549	40912
205	10605	40878
206	10665	40859
207	10723	40831
208	10782	40807
209	10849	40815
210	10912	40805
211	10977	40803
212	11044	40809
213	11112	40814
214	11163	40761
215	11229	40758
216	11296	40760
217	11359	40746
218	11421	40731
219	11477	40693
220	11568	40777
221	11647	40820
222	11711	40806
223	11777	40800
224	11830	40748
225	11886	40708
226	11945	40679
227	12013	40678
228	12078	40667
229	12129	40607
230	12191	40585
231	12254	40567
232	12348	40647
233	12404	40606
234	12460	40562
235	12524	40546
236	12594	40546
237	12651	40507
238	12705	40455
239	12760	40407
240	12810	40343
241	12869	40309
242	12921	40254
243	12965	40173
244	13020	40125
245	13080	40091
246	13134	40042
247	13186	39984
248	13252	39969
249	13301	39904
250	13361	39870
251	13417	39825
252	13475	39786
253	13533	39749
254	13591	39708
255	13647	39664
256	13702	39615
257	13758	39568
258	13818	39535
259	13877	39498
260	13936	39460
261	13994	39418
262	14045	39360
263	14100	39310
264	14149	39245
265	14198	39178
266	14252	39128
267	14303	39067
268	14346	38987
269	14395	38920
270	14458	38893
271	14534	38901
272	14583	38835
273	14635	38778
274	14679	38701
275	14731	38644
276	14786	38595
277	14837	38534
278	14893	38487
279	14949	38440
280	15001	38385
281	15054	38329
282	15116	38297
283	15171	38250
284	15236	38225
285	15293	38179
286	15353	38142
287	15403	38080
288	15461	38038
289	15531	38024
290	15591	37986
291	15646	37937
292	15704	37894
293	15761	37848
294	15818	37804
295	15875	37757
296	15934	37717
297	15987	37661
298	16045	37619
299	16101	37569
300	16158	37524
301	16212	37470
302	16276	37442
303	16332	37393
304	16390	37349
305	16477	37370
306	16530	37313
307	16586	37265
308	16675	37290
309	16732	37242
310	16788	37194
311	16836	37125
312	16888	37068
313	16938	37006
314	16990	36947
315	17055	36916
316	17107	36858
317	17166	36817
318	17223	36768
319	17280	36722
320	17334	36666
321	17391	36619
322	17448	36571
323	17503	36518
324	17557	36465
325	17613	36415
326	17671	36368
327	17728	36321
328	17785	36274
329	17838	36217
330	17891	36161
331	17948	36112
332	18002	36058
333	18058	36009
334	18135	35999
335	18193	35953
336	18251	35906
337	18305	35852
338	18357	35795
339	18413	35744
340	18466	35687
341	18519	35631
342	18579	35588
343	18636	35539
344	18697	35498
345	18782	35501
346	18857	35487
347	18906	35422
348	18960	35367
349	19016	35315
350	19077	35274
351	19141	35238
352	19198	35188
353	19262	35151
354	19311	35087
355	19375	35050
356	19427	34991
357	19495	34960
358	19548	34904
359	19608	34859
360	19661	34803
361	19716	34748
362	19768	34689
363	19819	34628
364	19879	34584
365	19933	34529
366	19992	34483
367	20045	34425
368	20099	34371
369	20158	34323
370	20218	34278
371	20281	34239
372	20348	34205
373	20411	34164
374	20468	34113
375	20528	34068
376	20583	34014
377	20639	33962
378	20694	33908
379	20752	33858
380	20810	33809
381	20870	33763
382	20940	33733
383	21042	33756
384	21101	33707
385	21154	33650
386	21212	33600
387	21266	33544
388	21314	33477
389	21401	33474
390	21472	33443
391	21526	33388
392	21577	33327
393	21634	33276
394	21689	33219
395	21745	33167
396	21800	33112
397	21882	33098
398	21957	33073
399	22022	33033
400	22088	32995
401	22150	32949
402	22209	32900
403	22264	32845
404	22323	32796
405	22379	32742
406	22433	32685
407	22491	32634
408	22548	32582
409	22608	32534
410	22671	32489
411	22738	32452
412	22789	32391
413	22852	32346
414	22905	32288
415	22955	32225
416	23019	32183
417	23178	32272
418	23304	32314
419	23361	32261
420	23410	32196
421	23472	32148
422	23528	32094
423	23581	32034
424	23630	31971
425	23694	31926
426	23750	31871
427	23806	31816
428	23861	31760
429	23924	31714
430	23979	31657
431	24033	31599
432	24087	31542
433	24140	31482
434	24192	31422
435	24246	31365
436	24302	31309
437	24357	31253
438	24407	31190
439	24465	31137
440	24522	31084
441	24583	31035
442	24662	31009
443	24719	30954
444	24779	30904
445	24835	30849
446	24890	30792
447	24942	30732
448	24997	30676
449	25051	30617
450	25108	30564
451	25176	30523
452	25243	30482
453	25334	30468
454	25411	30437
455	25456	30368
456	25558	30367
457	25622	30321
458	25673	30259
459	25720	30193
460	25775	30136
461	25834	30084
462	25890	30028
463	25955	29983
464	26017	29934
465	26074	29879
466	26134	29828
467	26193	29775
468	26251	29721
469	26307	29665
470	26365	29611
471	26428	29563
472	26488	29512
473	26554	29467
474	26606	29406
475	26655	29343
476	26711	29287
477	26762	29226
478	26821	29172
479	26874	29114
480	26925	29052
481	26981	28996
482	27036	28939
483	27095	28887
484	27150	28829
485	27199	28766
486	27252	28707
487	27308	28651
488	27370	28601
489	27429	28549
490	27498	28506
491	27546	28442
492	27596	28380
493	27651	28323
494	27707	28267
495	27764	28212
496	27819	28155
497	27875	28098
498	27928	28039
499	27961	27961
500	27993	27881
501	28027	27803
502	28061	27726
503	28101	27655
504	28140	27582
505	28170	27502
506	28205	27426
507	28234	27344
508	28270	27270
509	28300	27190
510	28333	27113
511	28362	27032
512	28395	26956
513	28425	26876
514	28454	26796
515	28486	26719
516	28518	26642
517	28551	26567
518	28583	26490
519	28616	26415
520	28648	26338
521	28681	26263
522	28714	26189
523	28749	26115
524	28783	26041
525	28815	25966
526	28851	25894
527	28890	25826
528	28927	25756
529	28968	25688
530	29000	25614
531	29044	25550
532	29073	25472
533	29112	25404
534	29138	25326
535	29181	25261
536	29248	25217
537	29285	25148
538	29315	25072
539	29342	24995
540	29372	24920
541	29400	24843
542	29433	24771
543	29463	24697
544	29500	24629
545	29530	24554
546	29565	24485
547	29593	24409
548	29655	24361
549	29707	24305
550	29741	24235
551	29780	24169
552	29833	24114
553	29871	24047
554	29907	23979
555	29941	23910
556	29971	23837
557	30005	23767
558	30042	23700
559	30076	23631
560	30110	23562
561	30147	23496
562	30181	23426
563	30228	23367
564	30260	23297
565	30305	23237
566	30345	23174
567	30385	23109
568	30423	23044
569	30464	22981
570	30503	22917
571	30538	22850
572	30572	22782
573	30617	22723
574	30652	22656
575	30687	22589
576	30722	22522
577	30758	22456
578	30788	22386
579	30825	22321
580	30874	22265
581	30901	22194
582	30941	22131
583	30976	22065
584	31014	22001
585	31044	21932
586	31082	21868
587	31111	21798
588	31144	21732
589	31178	21666
590	31229	21612
591	31264	21547
592	31298	21481
593	31333	21416
594	31366	21350
595	31399	21283
596	31435	21219
597	31469	21154
598	31518	21100
599	31547	21031
600	31584	20968
601	31614	20901
602	31656	20841
603	31698	20782
604	31731	20717
605	31768	20654
606	31802	20590
607	31857	20539
608	31900	20481
609	31951	20427
610	31982	20362
611	32019	20300
612	32049	20233
613	32084	20170
614	32112	20102
615	32147	20039
616	32197	19986
617	32229	19921
618	32272	19863
619	32306	19800
620	32346	19741
621	32377	19676
622	32418	19617
623	32448	19552
624	32484	19490
625	32513	19424
626	32592	19389
627	32623	19324
628	32651	19258
629	32686	19196
630	32723	19136
631	32758	19074
632	32788	19010
633	32819	18946
634	32854	18884
635	32883	18820
636	32918	18759
637	32949	18695
638	32986	18635
639	33020	18573
640	33055	18513
641	33127	18472
642	33166	18414
643	33196	18351
644	33236	18292
645	33269	18231
646	33307	18172
647	33335	18108
648	33381	18053
649	33413	17991
650	33450	17932
651	33485	17872
652	33522	17813
653	33560	17755
654	33593	17694
655	33649	17645
656	33687	17587
657	33719	17526
658	33762	17470
659	33793	17408
660	33833	17351
661	33868	17292
662	33908	17235
663	33939	17174
664	33981	17118
665	34031	17067
666	34070	17009
667	34108	16952
668	34144	16893
669	34176	16833
670	34218	16777
671	34244	16714
672	34280	16656
673	34324	16601
674	34368	16547
675	34396	16485
676	34428	16426
677	34459	16365
678	34493	16307
679	34523	16246
680	34557	16187
681	34589	16128
682	34622	16069
683	34655	16010
684	34692	15953
685	34746	15904
686	34768	15840
687	34800	15781
688	34831	15722
689	34870	15666
690	34899	15606
691	34931	15547
692	34960	15487
693	34987	15426
694	35018	15367
695	35049	15309
696	35082	15251
697	35116	15193
698	35149	15135
699	35183	15078
700	35218	15021
701	35253	14964
702	35285	14907
703	35315	14848
704	35354	14793
705	35402	14742
706	35426	14681
707	35460	14625
708	35488	14565
709	35539	14516
710	35572	14459
711	35607	14402
712	35638	14345
713	35681	14292
714	35712	14235
715	35765	14186
716	35796	14129
717	35831	14073
718	35864	14016
719	35948	13980
720	35972	13919
721	36001	13862
722	36032	13804
723	36064	13748
724	36108	13696
725	36167	13649
726	36216	13599
727	36246	13542
728	36284	13488
729	36315	13431
730	36351	13376
731	36382	13320
732	36419	13266
733	36445	13207
734	36483	13153
735	36509	13095
736	36563	13047
737	36603	12994
738	36634	12938
739	36668	12883
740	36701	12828
741	36738	12774
742	36786	12724
743	36822	12669
744	36895	12628
745	36928	12573
746	36962	12518
747	36995	12463
748	37048	12415
749	37084	12361
750	37130	12311
751	37165	12256
752	37201	12202
753	37242	12150
754	37278	12097
755	37314	12043
756	37348	11989
757	37393	11938
758	37436	11886
759	37481	11836
760	37527	11785
761	37569	11734
762	37605	11680
763	37657	11632
764	37688	11577
765	37736	11527
766	37772	11474
767	37814	11423
768	37852	11370
769	37890	11318
770	37929	11265
771	37964	11212
772	38001	11159
773	38034	11105
774	38074	11053
775	38111	11001
776	38143	10947
777	38182	10895
778	38234	10846
779	38303	10803
780	38337	10750
781	38384	10700
782	38450	10656
783	38489	10604
784	38558	10560
785	38592	10507
786	38629	10455
787	38665	10402
788	38701	10349
789	38732	10296
790	38771	10244
791	38806	10191
792	38843	10139
793	38881	10087
794	38915	10034
795	38948	9981
796	38983	9929
797	39013	9875
798	39051	9823
799	39084	9771
800	39112	9717
801	39159	9667
802	39191	9614
803	39229	9563
804	39252	9508
805	39287	9456
806	39318	9403
807	39352	9351
808	39381	9297
809	39417	9246
810	39447	9193
811	39483	9141
812	39554	9097
813	39577	9043
814	39609	8991
815	39642	8938
816	39675	8886
817	39705	8834
818	39741	8782
819	39776	8731
820	39810	8679
821	39845	8628
822	39879	8576
823	39929	8528
824	39963	8477
825	39999	8426
826	40042	8376
827	40086	8327
828	40131	8278
829	40161	8225
830	40199	8175
831	40247	8126
832	40280	8075
833	40319	8025
834	40354	7974
835	40407	7926
836	40448	7877
837	40492	7827
838	40529	7777
839	40562	7726
840	40596	7675
841	40647	7627
842	40679	7576
843	40712	7524
844	40744	7473
845	40776	7422
846	40808	7371
847	40846	7321
848	40884	7271
849	40916	7220
850	40952	7170
851	41000	7122
852	41029	7070
853	41066	7020
854	41101	6970
855	41149	6922
856	41188	6872
857	41220	6822
858	41261	6772
859	41299	6723
860	41337	6673
861	41366	6622
862	41401	6572
863	41438	6522
864	41482	6474
865	41519	6424
866	41556	6374
867	41599	6326
868	41639	6277
869	41673	6227
870	41722	6179
871	41759	6129
872	41792	6079
873	41829	6030
874	41863	5980
875	41898	5930
876	41929	5880
877	41971	5832
878	42015	5783
879	42063	5735
880	42103	5687
881	42136	5637
882	42170	5587
883	42216	5539
884	42260	5491
885	42292	5441
886	42335	5393
887	42366	5343
888	42402	5294
889	42467	5248
890	42555	5206
891	42618	5160
892	42656	5111
893	42688	5061
894	42722	5012
895	42751	4962
896	42787	4913
897	42818	4863
898	42853	4814
899	42883	4764
900	42924	4716
901	42965	4668
902	42989	4617
903	43026	4569
904	43053	4519
905	43086	4470
906	43116	4420
907	43151	4372
908	43184	4323
909	43222	4274
910	43256	4225
911	43292	4177
912	43335	4129
913	43373	4081
914	43410	4032
915	43446	3984
916	43486	3936
917	43521	3887
918	43557	3839
919	43593	3790
920	43630	3742
921	43662	3693
922	43697	3645
923	43733	3597
924	43775	3549
925	43812	3501
926	43849	3453
927	43882	3404
928	43920	3356
929	43958	3308
930	43993	3260
931	44074	3215
932	44111	3167
933	44170	3121
934	44206	3073
935	44244	3025
936	44275	2976
937	44315	2929
938	44349	2881
939	44382	2832
940	44418	2785
941	44454	2737
942	44488	2689
943	44525	2641
944	44564	2593
945	44630	2547
946	44666	2499
947	44729	2453
948	44758	2405
949	44795	2357
950	44834	2310
951	44865	2262
952	44901	2214
953	44933	2166
954	44967	2118
955	44996	2070
956	45030	2023
957	45075	1976
958	45121	1929
959	45157	1881
960	45189	1833
961	45241	1787
962	45273	1739
963	45308	1692
964	45346	1644
965	45388	1597
966	45431	1550
967	45465	1502
968	45501	1455
969	45534	1408
970	45568	1360
971	45601	1313
972	45640	1266
973	45670	1219
974	45701	1171
975	45734	1124
976	45771	1077
977	45803	1030
978	45836	983
979	45887	936
980	45928	889
981	45964	842
982	45995	795
983	46026	748
984	46060	701
985	46090	654
986	46120	607
987	46150	560
988	46188	513
989	46218	466
990	46299	420
991	46321	373
992	46350	326
993	46386	279
994	46414	233
995	46449	186
996	46479	139
997	46515	93
998	46546	46
999	46595	0
