iter	RMSE
0	22.9113889
1	22.90236037
2	22.89134092
3	22.88777289
4	22.88773439
5	22.88120132
6	22.87068399
7	22.86247502
8	22.85334769
9	22.85260409
10	22.84539892
11	22.84036194
12	22.8347859
13	22.82623836
14	22.81774017
15	22.81053126
16	22.80391786
17	22.8010426
18	22.79337381
19	22.78350778
20	22.77219895
21	22.76897841
22	22.76023147
23	22.75098009
24	22.75006175
25	22.74492907
26	22.73614463
27	22.72571633
28	22.71824283
29	22.70351781
30	22.69764216
31	22.68878015
32	22.68311695
33	22.67790757
34	22.65510909
35	22.65510899
36	22.64116831
37	22.63041284
38	22.62387287
39	22.61897594
40	22.60393904
41	22.59764915
42	22.58180551
43	22.5778466
44	22.56559352
45	22.54687863
46	22.54263169
47	22.53370472
48	22.526298
49	22.52399245
50	22.51590657
51	22.50659475
52	22.48055821
53	22.47706598
54	22.47084639
55	22.46103008
56	22.45557233
57	22.45017775
58	22.44818774
59	22.4382805
60	22.4278537
61	22.4222506
62	22.41443801
63	22.41021855
64	22.3981343
65	22.39432077
66	22.3897336
67	22.38661438
68	22.37355961
69	22.36514272
70	22.36346601
71	22.36015944
72	22.3462055
73	22.33000869
74	22.32479174
75	22.32219097
76	22.31823681
77	22.30681187
78	22.29992215
79	22.29335546
80	22.28462684
81	22.27227629
82	22.26448927
83	22.25530287
84	22.25491795
85	22.24827524
86	22.23990113
87	22.23519321
88	22.22680282
89	22.22110926
90	22.2081681
91	22.19355882
92	22.19012792
93	22.18293008
94	22.17211273
95	22.16815723
96	22.15301731
97	22.14729189
98	22.14465342
99	22.14440967
100	22.1407761
101	22.14000749
102	22.1355467
103	22.13369576
104	22.13247783
105	22.12953789
106	22.12872902
107	22.10850348
108	22.10444141
109	22.09734741
110	22.09514798
111	22.08552164
112	22.07796211
113	22.06517643
114	22.0576593
115	22.0490796
116	22.04479641
117	22.03794024
118	22.03071375
119	22.01878164
120	22.00515815
121	21.99222217
122	21.9901158
123	21.97417528
124	21.97164527
125	21.96964044
126	21.96277005
127	21.95730909
128	21.94547978
129	21.94211423
130	21.92956753
131	21.91844101
132	21.91301413
133	21.90666008
134	21.8972172
135	21.89377394
136	21.88804846
137	21.8827527
138	21.87657691
139	21.87124145
140	21.8576604
141	21.84796814
142	21.84735655
143	21.84709422
144	21.84299391
145	21.83385664
146	21.82816858
147	21.82140145
148	21.81157424
149	21.81058236
150	21.7931871
151	21.78611154
152	21.77603531
153	21.77446001
154	21.76454438
155	21.75563107
156	21.75531205
157	21.74258694
158	21.7342615
159	21.72592875
160	21.72454001
161	21.70446367
162	21.69704974
163	21.68403279
164	21.67438742
165	21.66115778
166	21.65209423
167	21.65112093
168	21.64063309
169	21.63355892
170	21.61648193
171	21.60656567
172	21.60218911
173	21.59634462
174	21.58442177
175	21.57716853
176	21.57022314
177	21.56376536
178	21.55477855
179	21.54606056
180	21.53833579
181	21.53048068
182	21.52397572
183	21.51581847
184	21.50747816
185	21.50206161
186	21.49904354
187	21.48901187
188	21.48003251
189	21.47609114
190	21.47104485
191	21.46860391
192	21.45167988
193	21.45075569
194	21.44714848
195	21.44611328
196	21.43476066
197	21.43259544
198	21.43240333
199	21.42125558
200	21.41596384
201	21.4115007
202	21.40307551
203	21.40255088
204	21.39861905
205	21.37366961
206	21.35980194
207	21.35395871
208	21.34217805
209	21.33044869
210	21.32600234
211	21.31668138
212	21.31208467
213	21.30219288
214	21.29194436
215	21.28630584
216	21.27435105
217	21.26135152
218	21.2579754
219	21.24086315
220	21.22867195
221	21.22533782
222	21.217202
223	21.20206399
224	21.18536827
225	21.18043737
226	21.17526612
227	21.16749668
228	21.15808352
229	21.14977432
230	21.14145624
231	21.13427849
232	21.1271246
233	21.12430983
234	21.11334307
235	21.11302413
236	21.11097277
237	21.09946269
238	21.09295803
239	21.08591813
240	21.08124345
241	21.07113344
242	21.07077309
243	21.06667357
244	21.05748049
245	21.04978828
246	21.0431774
247	21.03762
248	21.03189437
249	21.02142922
250	21.02128344
251	21.01857993
252	21.00598869
253	21.00039676
254	20.99045651
255	20.98252801
256	20.97771224
257	20.97765824
258	20.97045524
259	20.96813746
260	20.95853603
261	20.95333024
262	20.94095786
263	20.93058809
264	20.92374782
265	20.91493911
266	20.91214511
267	20.90840108
268	20.89815614
269	20.89497156
270	20.88393219
271	20.88369555
272	20.88139896
273	20.88094076
274	20.87117258
275	20.86509616
276	20.85539016
